timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20644.37776,1420942,-4.619987965,7.949730873,-0.998204648,-0.931297719,-1.938931346,2.351145029,283.7523499,3027,1204.39563,55.65217209,1078.125,0
20644.38889,1420949.75,-4.619987965,7.985637188,-0.964691818,-0.931297719,-0.732824445,3.038167953,283.7523499,3027,1207.32605,55.65217209,1078.125,0
20644.39018,1420957.625,-4.629563332,8.064632416,-0.940754056,-1.725190878,-0.549618304,3.648854971,283.7523499,3027,1208.79126,55.65217209,1078.125,0
20644.39382,1420965.375,-4.62477541,8.040694237,-1.029323816,-1.053435087,-0.702290058,4.519083977,283.5109863,3029,1208.79126,55.65217209,1078.125,0
20644.40266,1420973.25,-4.622381687,8.014362335,-1.012567282,-0.229007632,-0.427480906,4.687022686,283.5109863,3029,1212.454224,55.65217209,1078.125,0
20644.41258,1420981,-4.58168745,8.031119347,-0.943147838,-0.351145029,-0.259541988,5.038167953,283.6316223,3028,1215.384644,55.65217209,1078.125,0
20644.42473,1420988.875,-4.57211256,8.086175919,-0.979054451,-0.427480906,-0.396946579,6.305343628,283.6316223,3028,1219.047607,55.65217209,1078.125,0
20644.43458,1420996.625,-4.579293728,8.031119347,-0.976660669,0.427480906,-0.015267176,6.274809361,283.3904724,3030,1221.978027,55.65217209,1078.125,0
20644.4449,1421004.5,-4.596050262,8.093357086,-0.943147838,0.53435117,0.335877866,4.977099419,283.5109863,3029,1223.443237,55.65217209,1078.125,0
20644.45064,1421012.25,-4.58168745,8.220227242,-0.979054451,0.106870227,0.396946579,2.198473215,283.6316223,3028,1224.908447,55.65217209,1078.125,0
20644.46464,1421020.125,-4.555356026,8.251346588,-0.9670856,-0.564885497,0.152671754,-0.351145029,283.5109863,3029,1227.838867,55.65217209,1078.125,0
20644.47157,1421027.875,-4.540993214,8.220227242,-0.955116689,-0.885496199,0.213740453,-0.687022924,283.2700806,3031,1233.699585,55.65217209,1078.125,0
20644.47263,1421035.75,-4.538599491,8.191502571,-1.002992272,-0.870229006,-0.183206111,-0.641221344,283.3904724,3030,1239.560425,55.65217209,1078.125,0
20644.47747,1421043.5,-4.550568581,8.177139282,-0.991023362,-0.58015269,-0.458015263,-1.06870234,283.3904724,3030,1242.490845,55.65217209,1078.125,0
20644.48656,1421051.375,-4.560143471,8.148413658,-1.014961123,0,-0.458015263,-1.343511462,283.3904724,3030,1239.560425,55.65217209,1078.125,0
20644.51045,1421059.125,-4.545781136,8.153202057,-1.017354846,-0.152671754,-1.099236608,-2.58015275,283.2700806,3031,1235.897461,55.65217209,1078.125,0
20644.51738,1421067,-4.552962303,8.064632416,-1.014961123,-0.503816783,-1.02290082,-3.435114622,283.3904724,3030,1232.234375,55.65217209,1078.125,0
20644.51858,1421074.75,-4.533812046,7.997606277,-1.024536252,-0.961832047,-1.770992398,-2.900763273,283.3904724,3030,1232.234375,55.65217209,1078.125,0
20644.51957,1421082.625,-4.517055511,7.973668575,-1.017354846,-1.725190878,-2.335877895,-2.030534267,283.2700806,3031,1231.501831,55.65217209,1078.125,0
20644.52079,1421090.375,-4.596050262,7.96888113,-0.986235797,-1.618320584,-1.877862573,-2.106870174,283.1497498,3032,1232.967041,55.65217209,1078.125,0
