Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:59:07.186,2.855402, 4_Baseline, 436014.6179935, 2833, 1010.22204589844, 1441.02563476563, 687.5, 87.2727279663086, -4.97187328338623, -4.50029945373535, 7.53321361541748, -0.351145029067993, -1.06870234012604, 0.198473289608955,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.855536, 4_Baseline, 436014.6181436, 2832, 1010.68743896484, 1434.43225097656, 687.5, 87.2727279663086, -4.97187328338623, -4.52423715591431, 7.56912040710449, -0.198473289608955, -0.946564912796021, 0.198473289608955,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.855561, 4_Baseline, 436014.6469093, 2832, 1010.68743896484, 1428.57141113281, 687.5, 87.2727279663086, -4.93117904663086, -4.51705551147461, 7.52842617034912, -0.320610672235489, -0.839694678783417, 0.320610672235489,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.855586, 4_Baseline, 436014.6489189, 2831, 1011.15319824219, 1424.90844726563, 687.5, 87.2727279663086, -4.95511674880981, -4.51705551147461, 7.51645708084106, -0.137404575943947, -0.519083976745605, 0.381679385900497,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856045, 4_Baseline, 436014.6490865, 2832, 1010.68743896484, 1422.71057128906, 687.5, 87.2727279663086, -4.94554138183594, -4.5433874130249, 7.51885080337524, 0.229007631540298, -0.229007631540298, 0.580152690410614,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856071, 4_Baseline, 436014.649281, 2831, 1011.15319824219, 1417.58239746094, 687.5, 87.2727279663086, -4.95990419387817, -4.53141832351685, 7.49970054626465, 0.595419824123383, -0.259541988372803, 0.687022924423218,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856096, 4_Baseline, 436014.6509783, 2830, 1011.61944580078, 1413.18676757813, 687.5, 87.2727279663086, -4.95990419387817, -4.51944923400879, 7.49491310119629, 0.625954210758209, -0.274809151887894, 0.885496199131012,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856121, 4_Baseline, 436014.6529427, 2830, 1011.61944580078, 1408.05859375, 687.5, 87.2727279663086, -4.98144817352295, -4.48593664169312, 7.50927591323853, 0.671755731105804, 0.183206111192703, 0.946564912796021,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856148, 4_Baseline, 436014.689787, 2830, 1011.61944580078, 1405.86083984375, 687.5, 87.2727279663086, -4.98384189605713, -4.47875547409058, 7.49970054626465, 0.610687017440796, -0.213740453124046, 0.732824444770813,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856171, 4_Baseline, 436014.6899725, 2831, 1011.15319824219, 1402.93041992188, 687.5, 87.2727279663086, -4.96229791641235, -4.46678638458252, 7.53321361541748, 0.427480906248093, -0.213740453124046, 0.900763332843781,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856194, 4_Baseline, 436014.7147444, 2830, 1011.61944580078, 1399.26745605469, 687.5, 87.2727279663086, -4.93117904663086, -4.44763612747192, 7.53800106048584, 0.183206111192703, -0.0305343512445688, 0.80916029214859,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856217, 4_Baseline, 436014.7149051, 2828, 1012.55322265625, 1392.67395019531, 687.5, 87.2727279663086, -4.93596649169922, -4.46678638458252, 7.52842617034912, 0.0763358771800995, 0.0305343512445688, 1.00763356685638,Starts - Go Pro
0:25/12/2019 16:59:07.187,2.856244, 4_Baseline, 436014.7151509, 2830, 1011.61944580078, 1386.08056640625, 687.5, 87.2727279663086, -4.94554138183594, -4.45960521697998, 7.51645708084106, -0.274809151887894, 0.0610687024891377, 1.00763356685638,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856269, 4_Baseline, 436014.7154122, 2830, 1011.61944580078, 1380.2197265625, 687.5, 87.2727279663086, -4.95272302627563, -4.45481729507446, 7.54039478302002, -0.381679385900497, 0.259541988372803, 1.3893129825592,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856291, 4_Baseline, 436014.7168765, 2828, 1012.55322265625, 1373.62634277344, 687.5, 87.2727279663086, -4.92160367965698, -4.42130470275879, 7.55236387252808, -0.656488537788391, 0.0916030555963516, 1.86259543895721,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856318, 4_Baseline, 436014.7186998, 2828, 1012.55322265625, 1365.56774902344, 687.5, 87.2727279663086, -4.94554138183594, -4.40933561325073, 7.55475759506226, -0.702290058135986, 0.671755731105804, 0.961832046508789,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856341, 4_Baseline, 436014.7396414, 2829, 1012.08612060547, 1361.17211914063, 687.5, 87.2727279663086, -4.97187328338623, -4.42609214782715, 7.51166963577271, -0.137404575943947, 0.0458015277981758, 0.641221344470978,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856364, 4_Baseline, 436014.7398504, 2828, 1012.55322265625, 1356.0439453125, 687.5, 87.2727279663086, -4.98862934112549, -4.43327331542969, 7.52603244781494, 0.0152671756222844, 0.244274809956551, 0.916030526161194,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856388, 4_Baseline, 436014.7415733, 2827, 1013.02075195313, 1347.9853515625, 687.5, 87.2727279663086, -4.99581098556519, -4.42848587036133, 7.57390785217285, -0.213740453124046, 0.167938932776451, 0.946564912796021,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856675, 4_Baseline, 436014.741813, 2829, 1012.08612060547, 1341.39196777344, 687.5, 87.2727279663086, -4.99341726303101, -4.41172933578491, 7.52842617034912, -0.595419824123383, -0.122137404978275, 0.824427485466003,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856701, 4_Baseline, 436014.7636307, 2828, 1012.55322265625, 1330.40295410156, 687.5, 87.2727279663086, -4.98623561859131, -4.44284868240356, 7.53800106048584, -0.549618303775787, 0.351145029067993, 0.610687017440796,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856725, 4_Baseline, 436014.7638697, 2827, 1013.02075195313, 1325.27478027344, 687.5, 87.2727279663086, -4.95511674880981, -4.45721101760864, 7.53321361541748, -0.305343508720398, 0.0763358771800995, 1.03816795349121,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856747, 4_Baseline, 436014.7657177, 2826, 1013.48870849609, 1323.07690429688, 687.5, 87.2727279663086, -4.9263916015625, -4.48593664169312, 7.5308198928833, 0.122137404978275, 0.183206111192703, 0.916030526161194,Starts - Go Pro
