Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:42:49.066,2.868034, 4_Baseline, 435036.4725805, 1718, 2076.13427734375, 1347.9853515625, 710.9375, 84.3956069946289, -4.05745077133179, -3.60981440544128, 8.55296230316162, 0.763358771800995, -0.335877865552902, 0.778625965118408,Starts
0:25/12/2019 16:42:49.066,2.868251, 4_Baseline, 435036.4766086, 1718, 2076.13427734375, 1350.18310546875, 710.9375, 84.3956069946289, -4.07420682907104, -3.62178325653076, 8.55056858062744, 0.839694678783417, -0.549618303775787, 0.351145029067993,Starts
0:25/12/2019 16:42:49.066,2.868292, 4_Baseline, 435036.4945076, 1718, 2076.13427734375, 1353.84619140625, 710.9375, 84.3956069946289, -4.08138847351074, -3.62896466255188, 8.57211208343506, 0.748091578483582, -0.931297719478607, 0.427480906248093,Starts
0:25/12/2019 16:42:49.066,2.868331, 4_Baseline, 435036.4946775, 1718, 2076.13427734375, 1358.24169921875, 710.9375, 84.3956069946289, -4.08378219604492, -3.62417721748352, 8.58168792724609, 0.702290058135986, -0.931297719478607, 0.320610672235489,Starts
0:25/12/2019 16:42:49.067,2.868925, 4_Baseline, 435036.4948176, 1718, 2076.13427734375, 1359.70690917969, 710.9375, 84.3956069946289, -4.07899475097656, -3.63135838508606, 8.57929420471191, 0.625954210758209, -1.16030538082123, 0.931297719478607,Starts
0:25/12/2019 16:42:49.067,2.868959, 4_Baseline, 435036.520644, 1716, 2080.07104492188, 1361.90478515625, 710.9375, 84.3956069946289, -4.07420682907104, -3.62178325653076, 8.58647537231445, 0.625954210758209, -1.3893129825592, 0.244274809956551,Starts
0:25/12/2019 16:42:49.067,2.868984, 4_Baseline, 435036.5224838, 1717, 2078.10083007813, 1366.30041503906, 710.9375, 84.3956069946289, -4.07660102844238, -3.59545183181763, 8.58647537231445, 0.732824444770813, -1.19083964824677, 0.458015263080597,Starts
0:25/12/2019 16:42:49.067,2.869009, 4_Baseline, 435036.5226937, 1717, 2078.10083007813, 1374.35900878906, 710.9375, 84.3956069946289, -4.06223821640015, -3.60023927688599, 8.60083770751953, 0.641221344470978, -0.778625965118408, 0.351145029067993,Starts
0:25/12/2019 16:42:49.067,2.869039, 4_Baseline, 435036.5604247, 1717, 2078.10083007813, 1383.8828125, 710.9375, 84.3956069946289, -4.06702566146851, -3.59784555435181, 8.5553560256958, 0.7175572514534, -0.961832046508789, 0.442748099565506,Starts
0:25/12/2019 16:42:49.067,2.869064, 4_Baseline, 435036.5665426, 1717, 2078.10083007813, 1396.33703613281, 710.9375, 84.3956069946289, -4.03111886978149, -3.60023927688599, 8.58408164978027, 0.80916029214859, -1.08396947383881, 0.412213742733002,Starts
0:25/12/2019 16:42:49.067,2.869089, 4_Baseline, 435036.5668031, 1717, 2078.10083007813, 1409.52380371094, 710.9375, 84.3956069946289, -4.04548168182373, -3.60502696037292, 8.5673246383667, 0.870229005813599, -0.824427485466003, 0.564885497093201,Starts
0:25/12/2019 16:42:49.067,2.869112, 4_Baseline, 435036.5953459, 1717, 2078.10083007813, 1427.10620117188, 710.9375, 84.3956069946289, -4.05266284942627, -3.60263323783875, 8.54817485809326, 0.80916029214859, -0.732824444770813, 0.641221344470978,Starts
0:25/12/2019 16:42:49.067,2.869138, 4_Baseline, 435036.5973734, 1717, 2078.10083007813, 1443.22338867188, 710.9375, 84.3956069946289, -4.05505704879761, -3.62417721748352, 8.58168792724609, 0.80916029214859, -0.854961812496185, 0.442748099565506,Starts
0:25/12/2019 16:42:49.067,2.869163, 4_Baseline, 435036.5993732, 1717, 2078.10083007813, 1462.27111816406, 710.9375, 84.3956069946289, -4.04308795928955, -3.61460208892822, 8.57211208343506, 0.7175572514534, -1.14503812789917, 0.396946579217911,Starts
0:25/12/2019 16:42:49.067,2.869187, 4_Baseline, 435036.6013943, 1717, 2078.10083007813, 1482.05126953125, 710.9375, 84.3956069946289, -4.05266284942627, -3.63375234603882, 8.56253719329834, 0.671755731105804, -0.671755731105804, 0.564885497093201,Starts
