Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 17:14:49.388,2.876282, 4_Baseline, 436956.7917514, 3075, 908.938049316406, 1367.03295898438, 656.25, 91.4285736083984, -2.56612801551819, -4.33034133911133, 8.80191516876221, -0.183206111192703, -2.09160304069519, 0.656488537788391,Starts
0:25/12/2019 17:14:49.389,2.876423, 4_Baseline, 436956.7936729, 3076, 908.561645507813, 1367.765625, 656.25, 91.4285736083984, -2.56612801551819, -4.30400943756104, 8.80909633636475, -0.366412222385406, -1.80152666568756, 0.656488537788391,Starts
0:25/12/2019 17:14:49.389,2.87645, 4_Baseline, 436956.7938737, 3074, 909.314758300781, 1368.49816894531, 656.25, 91.4285736083984, -2.54458403587341, -4.30879735946655, 8.83542823791504, -0.290076345205307, -1.77099239826202, 0.656488537788391,Starts
0:25/12/2019 17:14:49.389,2.876474, 4_Baseline, 436956.7939902, 3075, 908.938049316406, 1370.69592285156, 656.25, 91.4285736083984, -2.52782773971558, -4.29922199249268, 8.80909633636475, -0.442748099565506, -1.58778631687164, 0.274809151887894,Starts
0:25/12/2019 17:14:49.389,2.876931, 4_Baseline, 436956.797867, 3074, 909.314758300781, 1372.1611328125, 656.25, 91.4285736083984, -2.53500890731812, -4.33273506164551, 8.80909633636475, -0.229007631540298, -1.64885497093201, 0.870229005813599,Starts
0:25/12/2019 17:14:49.389,2.876958, 4_Baseline, 436956.7996541, 3074, 909.314758300781, 1370.69592285156, 656.25, 91.4285736083984, -2.53979659080505, -4.35667276382446, 8.83782196044922, -0.183206111192703, -1.55725193023682, 1.05343508720398,Starts
0:25/12/2019 17:14:49.389,2.876982, 4_Baseline, 436956.7998164, 3073, 909.691772460938, 1367.765625, 656.25, 91.4285736083984, -2.53261518478394, -4.33273506164551, 8.81867122650146, -0.137404575943947, -1.32824432849884, 0.992366433143616,Starts
0:25/12/2019 17:14:49.389,2.877005, 4_Baseline, 436956.8057722, 3074, 909.314758300781, 1363.36999511719, 656.25, 91.4285736083984, -2.50867748260498, -4.31597852706909, 8.82824611663818, -0.122137404978275, -1.46564888954163, 0.778625965118408,Starts
0:25/12/2019 17:14:49.389,2.877032, 4_Baseline, 436956.8335939, 3073, 909.691772460938, 1361.17211914063, 656.25, 91.4285736083984, -2.52064633369446, -4.30879735946655, 8.81149005889893, -0.0763358771800995, -1.00763356685638, 0.885496199131012,Starts
0:25/12/2019 17:14:49.389,2.877055, 4_Baseline, 436956.833764, 3074, 909.314758300781, 1359.70690917969, 656.25, 91.4285736083984, -2.53740286827087, -4.33512878417969, 8.82345867156982, -0.0305343512445688, -1.03816795349121, 0.961832046508789,Starts
0:25/12/2019 17:14:49.389,2.877079, 4_Baseline, 436956.8355725, 3072, 910.069152832031, 1355.31140136719, 656.25, 91.4285736083984, -2.54458403587341, -4.32555341720581, 8.82824611663818, -0.0916030555963516, -0.916030526161194, 0.656488537788391,Starts
0:25/12/2019 17:14:49.389,2.877106, 4_Baseline, 436956.8357992, 3073, 909.691772460938, 1356.77661132813, 656.25, 91.4285736083984, -2.53740286827087, -4.31119108200073, 8.78994655609131, -0.0305343512445688, -0.931297719478607, 0.534351170063019,Starts
0:25/12/2019 17:14:49.390,2.87717, 4_Baseline, 436956.837628, 3072, 910.069152832031, 1353.84619140625, 656.25, 91.4285736083984, -2.56134057044983, -4.31837224960327, 8.81627750396729, -0.0916030555963516, -1.00763356685638, 0.763358771800995,Starts
0:25/12/2019 17:14:49.390,2.877222, 4_Baseline, 436956.859611, 3072, 910.069152832031, 1356.0439453125, 656.25, 91.4285736083984, -2.56612801551819, -4.30640316009521, 8.79712772369385, -0.152671754360199, -0.7175572514534, 0.702290058135986,Starts
0:25/12/2019 17:14:49.390,2.877273, 4_Baseline, 436956.8845215, 3073, 909.691772460938, 1361.17211914063, 656.25, 91.4285736083984, -2.55894684791565, -4.31358480453491, 8.79952144622803, 0.0458015277981758, -1.14503812789917, 0.580152690410614,Starts
0:25/12/2019 17:14:49.390,2.877326, 4_Baseline, 436956.8846663, 3073, 909.691772460938, 1364.83520507813, 656.25, 91.4285736083984, -2.54937171936035, -4.33512878417969, 8.82824611663818, 0.0152671756222844, -1.19083964824677, 0.381679385900497,Starts
0:25/12/2019 17:14:49.390,2.877385, 4_Baseline, 436956.8848062, 3073, 909.691772460938, 1367.03295898438, 656.25, 91.4285736083984, -2.54697775840759, -4.32794713973999, 8.80191516876221, -0.183206111192703, -1.20610690116882, 0.824427485466003,Starts
0:25/12/2019 17:14:49.390,2.877437, 4_Baseline, 436956.9084428, 3072, 910.069152832031, 1368.49816894531, 656.25, 91.4285736083984, -2.56612801551819, -4.31597852706909, 8.79952144622803, -0.0763358771800995, -1.26717555522919, 0.671755731105804,Starts
0:25/12/2019 17:14:49.390,2.877489, 4_Baseline, 436956.9104485, 3071, 910.446838378906, 1367.765625, 656.25, 91.4285736083984, -2.56612801551819, -4.33273506164551, 8.81388378143311, 0.0152671756222844, -1.08396947383881, 0.366412222385406,Starts
0:25/12/2019 17:14:49.390,2.87754, 4_Baseline, 436956.9105937, 3072, 910.069152832031, 1369.23071289063, 656.25, 91.4285736083984, -2.53261518478394, -4.32076597213745, 8.825852394104, -0.335877865552902, -1.34351146221161, 0.641221344470978,Starts
0:25/12/2019 17:14:49.390,2.878035, 4_Baseline, 436956.9126334, 3071, 910.446838378906, 1367.765625, 656.25, 91.4285736083984, -2.54937171936035, -4.31119108200073, 8.80909633636475, -0.351145029067993, -1.34351146221161, 0.335877865552902,Starts
0:25/12/2019 17:14:49.390,2.878094, 4_Baseline, 436956.9128459, 3072, 910.069152832031, 1370.69592285156, 656.25, 91.4285736083984, -2.52543377876282, -4.32315969467163, 8.84260940551758, -0.259541988372803, -1.28244268894196, 0.610687017440796,Starts
0:25/12/2019 17:14:49.391,2.87816, 4_Baseline, 436956.9149237, 3070, 910.824768066406, 1370.69592285156, 656.25, 91.4285736083984, -2.49192094802856, -4.33752250671387, 8.80191516876221, -0.244274809956551, -1.16030538082123, 0.732824444770813,Starts
0:25/12/2019 17:14:49.391,2.878213, 4_Baseline, 436956.936117, 3071, 910.446838378906, 1376.55676269531, 656.25, 91.4285736083984, -2.51825261116028, -4.32555341720581, 8.82106494903564, 0.0305343512445688, -0.961832046508789, 0.80916029214859,Starts
0:25/12/2019 17:14:49.391,2.878274, 4_Baseline, 436956.9361276, 3071, 910.446838378906, 1384.61535644531, 656.25, 91.4285736083984, -2.54458403587341, -4.31837224960327, 8.79473400115967, 0.0305343512445688, -0.977099239826202, 0.47328245639801,Starts
0:25/12/2019 17:14:49.391,2.878326, 4_Baseline, 436956.9592843, 3069, 911.203063964844, 1397.80224609375, 656.25, 91.4285736083984, -2.51825261116028, -4.30640316009521, 8.79234027862549, 0.229007631540298, -1.11450386047363, 0.656488537788391,Starts
0:25/12/2019 17:14:49.391,2.878376, 4_Baseline, 436956.9612894, 3070, 910.824768066406, 1420.51281738281, 656.25, 91.4285736083984, -2.53740286827087, -4.33034133911133, 8.82106494903564, 0.656488537788391, -0.687022924423218, 0.47328245639801,Starts
0:25/12/2019 17:14:49.391,2.878428, 4_Baseline, 436956.9632259, 3070, 910.824768066406, 1446.15380859375, 656.25, 91.4285736083984, -2.48713350296021, -4.32555341720581, 8.82345867156982, 0.916030526161194, -0.885496199131012, 0.641221344470978,Starts
0:25/12/2019 17:14:49.391,2.878487, 4_Baseline, 436956.9672432, 3070, 910.824768066406, 1471.794921875, 656.25, 91.4285736083984, -2.4967086315155, -4.34470367431641, 8.83782196044922, 1.16030538082123, -0.625954210758209, 0.564885497093201,Starts
0:25/12/2019 17:14:49.391,2.87854, 4_Baseline, 436956.9852105, 3069, 911.203063964844, 1498.90112304688, 656.25, 91.4285736083984, -2.48713350296021, -4.31837224960327, 8.85936546325684, 1.02290081977844, -0.0305343512445688, 0.47328245639801,Starts
0:25/12/2019 17:14:49.391,2.878593, 4_Baseline, 436956.9871419, 3070, 910.824768066406, 1526.00732421875, 656.25, 91.4285736083984, -2.49910235404968, -4.30879735946655, 8.8521842956543, 0.763358771800995, 0.0152671756222844, 0.564885497093201,Starts
0:25/12/2019 17:14:49.391,2.878643, 4_Baseline, 436956.9872961, 3069, 911.203063964844, 1543.58972167969, 656.25, 91.4285736083984, -2.52543377876282, -4.32555341720581, 8.8402156829834, 0.580152690410614, 0.335877865552902, 0.671755731105804,Starts
0:25/12/2019 17:14:49.391,2.878701, 4_Baseline, 436957.0091114, 3068, 911.581665039063, 1556.77661132813, 656.25, 91.4285736083984, -2.53500890731812, -4.33991622924805, 8.80909633636475, 0.595419824123383, 0.564885497093201, 0.595419824123383,Starts
0:25/12/2019 17:14:49.391,2.878756, 4_Baseline, 436957.0111043, 3069, 911.203063964844, 1567.765625, 656.25, 91.4285736083984, -2.56373429298401, -4.32794713973999, 8.7660083770752, 0.687022924423218, 0.0916030555963516, 0.671755731105804,Starts
0:25/12/2019 17:14:49.391,2.878807, 4_Baseline, 436957.0150886, 3068, 911.581665039063, 1575.09155273438, 656.25, 91.4285736083984, -2.60682225227356, -4.34949111938477, 8.7660083770752, 0.381679385900497, -0.106870226562023, 0.458015263080597,Starts
0:25/12/2019 17:14:49.391,2.878858, 4_Baseline, 436957.0152267, 3069, 911.203063964844, 1575.82421875, 656.25, 91.4285736083984, -2.6020348072052, -4.33512878417969, 8.76122093200684, 0.580152690410614, -0.122137404978275, 0.534351170063019,Starts
0:25/12/2019 17:14:49.391,2.878968, 4_Baseline, 436957.0351976, 3067, 911.960571289063, 1567.765625, 656.25, 91.4285736083984, -2.57330942153931, -4.31597852706909, 8.80191516876221, 0.580152690410614, -0.198473289608955, 0.167938932776451,Starts
0:25/12/2019 17:14:49.391,2.879022, 4_Baseline, 436957.0369966, 3068, 911.581665039063, 1556.77661132813, 656.25, 91.4285736083984, -2.59724712371826, -4.30161571502686, 8.77797698974609, 0.396946579217911, -0.595419824123383, 0.564885497093201,Starts
0:25/12/2019 17:14:49.391,2.879075, 4_Baseline, 436957.045092, 3066, 912.33984375, 1542.12451171875, 656.25, 91.4285736083984, -2.58527827262878, -4.31597852706909, 8.77797698974609, 0.458015263080597, -0.580152690410614, 0.671755731105804,Starts
0:25/12/2019 17:14:49.392,2.879125, 4_Baseline, 436957.0585454, 3068, 911.581665039063, 1523.8095703125, 656.25, 91.4285736083984, -2.5924596786499, -4.33273506164551, 8.77558326721191, 0.351145029067993, -0.946564912796021, 0.320610672235489,Starts
0:25/12/2019 17:14:49.392,2.879172, 4_Baseline, 436957.0601855, 3066, 912.33984375, 1505.49450683594, 656.25, 91.4285736083984, -2.59964084625244, -4.33512878417969, 8.80191516876221, 0.549618303775787, -1.11450386047363, 0.503816783428192,Starts
0:25/12/2019 17:14:49.392,2.879198, 4_Baseline, 436957.0840845, 3067, 911.960571289063, 1487.17944335938, 656.25, 91.4285736083984, -2.58527827262878, -4.34470367431641, 8.80909633636475, 0.488549619913101, -1.55725193023682, 0.763358771800995,Starts
0:25/12/2019 17:14:49.392,2.879224, 4_Baseline, 436957.0861887, 3066, 912.33984375, 1468.86450195313, 656.25, 91.4285736083984, -2.58767199516296, -4.33034133911133, 8.81867122650146, 0.503816783428192, -1.52671754360199, 0.870229005813599,Starts
0:25/12/2019 17:14:49.392,2.87925, 4_Baseline, 436957.0864301, 3066, 912.33984375, 1448.35168457031, 656.25, 91.4285736083984, -2.57330942153931, -4.31597852706909, 8.81149005889893, 0.656488537788391, -1.54198467731476, 0.748091578483582,Starts
0:25/12/2019 17:14:49.392,2.879274, 4_Baseline, 436957.0881514, 3065, 912.719360351563, 1429.30407714844, 656.25, 91.4285736083984, -2.55655288696289, -4.34709739685059, 8.81149005889893, 0.351145029067993, -1.41984736919403, 0.671755731105804,Starts
0:25/12/2019 17:14:49.392,2.879303, 4_Baseline, 436957.1101177, 3065, 912.719360351563, 1411.72155761719, 656.25, 91.4285736083984, -2.55415916442871, -4.34230995178223, 8.81388378143311, 0.7175572514534, -1.32824432849884, 0.778625965118408,Starts
